rct_id,Arm,to keep,Iteration,Pubmed Link,Downloaded Paper Link,Total Population,arm_n,intervention,existing?,subgroup (Y/N),Subgroup characteristics,First-in-Class,Next-Generation,EGFR_TKI,Platinum_Chemotherapy,Anti_VEGF,PD1_PDL1_Inhibitor,Antimetabolite,Taxane,Antibody,Placebo_Supportive-Care,Chemotherapy,Targeted_Therapy,Immunotherapy,Anti-angiogenic_Other,RCT_with_control_inter,gender_male_percent,age_median,age_mean,age_clean,no_smoker_percent,ecog_1,brain_metastase_yes,disease_stage_recurrent,disease_stage_III,disease_stage_IV,EGFR_wild,EGFR_positive_mutation,PFS_median_months,PFS_median_CI,CI,need_to_be_dropped,NOTES,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,100,is_target_trial
NCT02142738,Intervention,1.0,2025-05-29,https://pmc.ncbi.nlm.nih.gov/articles/PMC8280089/#sec11,,305.0,154,Pembrolizumab ,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,59.7,64.5,,,3.2,64.3,11.7,0.0,0.0,100.0,,0.0,7.7,"[6.1,10.2]",,0.0,(PD-L1) tumor proportion score of at least 50% and no sensitizing EGFR or ALK alterations,,,,,,,,,0
,Control,1.0,2025-05-29,,,,151,platinum + pemetrexed or gemcitabine or paclitaxel,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62.9,66.0,,,12.6,64.9,6.6,0.0,0.0,100.0,,0.0,5.5,"[4.2,6.2]",,0.0,,,,,,,,,,0
NCT02041533,Intervention,1.0,2025-05-29,https://www.nejm.org/doi/full/10.1056/NEJMoa1613493,,541.0,211,Nivolumab,0.0,0.0,PD-L1 expression level >= 5%,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,68.0,63.0,,,11.0,68.0,12.0,6.0,0.0,94.0,,0.0,4.2,"[3.0,5.6]",,0.0,8% recurrent not necessarily stage IV NSCLC,,,,,,,,,0
,Control,1.0,2025-05-29,,,,212,platinum-based doublet chemotherapy,0.0,0.0,PD-L1 expression level >= 5%,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,65.0,,,11.0,64.0,13.0,9.0,0.0,90.0,,0.0,5.9,"[5.4,6.9]",,0.0,,,,,,,,,,0
,Intervention,1.0,,,,,47,Nivolumab,,1.0,High TMB subgroup,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,9.7,,,1.0,,,,,,,,,,0
,Control,1.0,,,,,60,platinum-based doublet chemotherapy,,1.0,High TMB subgroup,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,5.8,,,1.0,,,,,,,,,,0
NCT02657434,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/33333328/,,578.0,292,atezolizumab +cisplatin or carboplatin +pemetrexed (APP) ,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,65.8,64.0,,,12.7,56.8,,0.0,0.0,100.0,,0.7,7.6,"[6.6,8.5]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,286,cisplatin or carboplatin + pemetrexed (PP),0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,67.1,63.0,,,1.5,59.9,,0.0,0.0,100.0,,1.7,5.2,"[4.3,5.6]",,0.0,,,,,,,,,,0
NCT03950674,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/38642841/,,442.0,255,pembrolizumab + platinum + pemetrexed OR nab-paclitaxel,0.0,1.0,PD-L1 Tumour proportion score <=1 % ,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,71.0,65.0,,,11.8,64.7,15.7,,,,,,6.5,"[6.2,8.4]",,1.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,187,platinum + pemetrexed OR nab-paclitaxel,0.0,1.0,PD-L1 Tumour proportion score <=1 % ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,79.1,64.0,,,6.4,65.8,13.9,,,,,,5.5,"[4.7,6.2]",,1.0,,,,,,,,,,0
NCT02367781,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/31122901/,,679.0,451,Atezolizumab + carboplatin +nab-paclitaxel,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,59.0,64.0,,,11.0,58.0,,,,,100.0,0.0,7.0,"[6.3,7.3]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,228,carboplatin +nab-paclitaxel,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59.0,65.0,,,7.0,60.0,,,,,100.0,0.0,5.5,"[4.5,5.9]",,0.0,,,,,,,,,,0
NCT03134872,Intervention,1.0,2025-05-29,https://pubmed.ncbi.nlm.nih.gov/39608979/,,412.0,,Camrelizumab + carboplatin and pemetrexed,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,75.0,,,,38.0,77.0,5.0,,,,,,11.0,"[8.5,12.5]",,0.0,,,,,,,,,,0
,Control,1.0,2025-05-29,,,,,carboplatin and pemetrexed,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.0,,,,37.0,83.0,3.0,,,,,,6.5,"[5.5,7.2]",,0.0,,,,,,,,,,0
NCT02366143,Intervention,,2025-05-29,,,1202.0,400,Atezolizumab + bevacizumab + carboplatin + paclitaxel,0.0,0.0,,,,0.0,1.0,1.0,1.0,0.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,8.3,"[4.9,6.8]",,,,,,,,,,,,0
,Control,,2025-05-29,,,,400,bevacizumab + carboplatin + paclitaxel,0.0,0.0,,,,0.0,1.0,1.0,0.0,0.0,1.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,6.8,"[4.8,5.0]",,,,,,,,,,,,0
NCT03629925,Intervention,1.0,2025-05-29,https://www.jto.org/article/S1556-0864(21)02128-6/fulltext,,357.0,179,sintilimab + platinum + gemcitabine,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,91.1,64.0,,,13.4,83.2,,0.0,21.8,78.2,,,5.5,"[4.9,6.8]",,0.0,disease_stage_III: 21.8 (IIIB/IIIC combined),,,,,,,,,0
,Control,1.0,2025-05-29,,,,178, platinum + gemcitabine,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,92.1,62.0,,,17.4,87.6,,0.0,24.7,75.3,,,4.9,"[4.8,5.0]",,0.0,disease_stage_III: 21.8 (IIIB/IIIC combined),,,,,,,,,0
