NCT_ID,Arm,Population,intervention,RCT_with_control_inter,gender_male_percent,age_median,no_smoker_percent,ecog_1,brain_metastase_yes,disease_stage_recurrent,disease_stage_III,disease_stage_IV,EGFR_wild,EGFR_positive_mutation,PFS_median_months,PFS_median_CI,CI,need_to_be_dropped,First-in-Class,Next-Generation,EGFR_TKI,Platinum_Chemotherapy,Anti_VEGF,PD1_PDL1_Inhibitor,Antimetabolite,Taxane,Antibody,Placebo_Supportive-Care,Chemotherapy,Targeted_Therapy,Immunotherapy,Anti-angiogenic_Other,subgroup (Y/N),Subgroup characteristics,is_arm_control,combo_therapy,egfr_targeted,egfr_tki_use,high_risk_profile,novelty_score,elderly_male,large_trial,treatment_complexity,smoker_percent
NCT01364012,Intervention,138,bevacizumab + platinum doublet chemo (carboplatin + placlitaxel),1.0,54.0,57.0,50.0,75.0,0.0,3.0,6.0,91.0,73.0,27.0,9.2,"[8.4,10.7]",,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0,1,0.0,0.0,1,1.0,0,0,3.0,50.0
NCT01364012,Control,138,placebo + platinum doublet chemo (carboplatin + paclitaxel),1.0,56.0,56.0,50.0,80.0,0.0,2.0,7.0,91.0,74.0,26.0,6.5,"[5.8,7.1]",,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,0,0.0,0.0,1,0.0,0,0,1.0,50.0
NCT01469000,Intervention,126,pemetrexed + gefitinib ,1.0,35.0,62.0,64.0,69.0,0.0,17.0,0.0,83.0,0.0,100.0,15.8,"[12.6,18.3]",,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0,1,100.0,100.0,1,1.0,0,0,2.0,36.0
NCT01469000,Control,65,gefitinib,1.0,37.0,62.0,72.0,68.0,0.0,12.0,0.0,88.0,0.0,100.0,10.9,"[9.7,13.8]",,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,0,100.0,100.0,1,1.0,0,0,1.0,28.0
NCT02099058,Intervention,28,telisotuzumab vedotin + erlotinib,0.0,32.0,60.0,0.0,71.0,0.0,0.0,0.0,100.0,0.0,100.0,5.9,"[2.8,999]",,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0,0,100.0,100.0,1,1.0,0,0,2.0,100.0
NCT03515837,Intervention,245,pembrolizumab + pemtrexed + platinum-based chemo,1.0,38.0,62.0,66.0,71.0,20.8,0.0,0.0,100.0,0.0,100.0,5.6,"[5.5,5.8]",,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0,1,0.0,0.0,1,2.0,0,1,3.0,34.0
NCT03515837,Control,247,placebo + pemtrexed + platinum-based chemo,1.0,39.0,64.0,66.0,62.8,19.0,0.0,0.0,100.0,0.0,100.0,5.5,"[5.4,5.6]",,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1,0,0.0,0.0,1,0.0,0,1,1.0,34.0
NCT03736837,Intervention,57,anlotinib + icontinib,0.0,44.0,62.0,68.0,59.6,36.8,3.5,0.0,96.5,0.0,100.0,15.1,"[12.6,17.6]",,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0,0,0.0,100.0,1,2.0,0,0,2.0,32.0
NCT04129502,Intervention,179,mobocertinib,1.0,40.0,64.0,54.0,53.0,33.0,1.0,5.0,94.0,0.0,100.0,9.6,"[7.1,11.1]",,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0,0,100.0,100.0,1,1.0,0,1,1.0,46.0
NCT04129502,Control,175,platinum-based chemothrapy,1.0,34.0,62.0,61.0,58.0,31.0,1.0,4.0,95.0,0.0,100.0,9.6,"[7.2,11.4]",,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1,0,0.0,0.0,1,1.0,0,0,1.0,39.0
